loaded_uid	ncbi_taxon_id	taxon_rank_level	relative_abundance
3	1678	genus	82.0266
3	561	genus	14.2625
3	816	genus	1.46977
3	1301	genus	1.29802
3	1279	genus	0.50916
3	375288	genus	0.16959
3	32207	genus	0.11785
3	102106	genus	0.08065
3	1378	genus	0.04263
3	572511	genus	0.00912
3	53335	genus	0.00708
3	40544	genus	0.00451
3	292632	genus	0.00252
3	216816	species	55.5639
3	1681	species	18.0659
3	562	species	13.3728
3	1680	species	8.39483
3	1304	species	1.23983
3	821	species	1.20306
3	1282	species	0.36512
3	820	species	0.13091
3	43675	species	0.11785
3	1290	species	0.11229
3	74426	species	0.08065
3	47678	species	0.07857
3	823	species	0.07567
3	28037	species	0.05427
3	1379	species	0.04263
3	1280	species	0.03176
3	357276	species	0.02033
3	28116	species	0.01324
3	33038	species	0.00912
3	46506	species	0.00874
3	204516	species	0.00865
3	818	species	0.00627
3	40545	species	0.00451
3	68892	species	0.00278
3	1685	species	0.00193
3	1318	species	0.00062
3	1308	species	0.00051
3	-1	species	0.99331
3	-1	genus	0.00001
6	838	genus	37.7229
6	816	genus	12.4427
6	1730	genus	10.1438
6	292632	genus	6.71942
6	33024	genus	4.49462
6	375288	genus	4.21272
6	33042	genus	3.52926
6	216851	genus	3.36498
6	239759	genus	3.2082
6	1485	genus	1.69628
6	1263	genus	1.39433
6	40544	genus	1.29585
6	841	genus	1.05622
6	189330	genus	0.78399
6	544	genus	0.75287
6	572511	genus	0.74229
6	397864	genus	0.62881
6	283168	genus	0.49122
6	35832	genus	0.23237
6	872	genus	0.20398
6	244127	genus	0.17343
6	459786	genus	0.12824
6	561	genus	0.09837
6	102106	genus	0.09636
6	1348911	genus	0.06112
6	207244	genus	0.05134
6	1301	genus	0.03337
6	1678	genus	0.02447
6	239934	genus	0.01943
6	830	genus	0.01843
6	61170	genus	0.01411
6	135858	genus	0.00782
6	447020	genus	0.00693
6	52225	genus	0.00464
6	940557	genus	0.00316
6	724	genus	0.00248
6	29465	genus	0.00106
6	160674	genus	0.00076
6	1017280	genus	0.00025
6	165179	species	37.7229
6	39485	species	7.80829
6	387090	species	5.02504
6	626940	species	4.49462
6	46503	species	4.16614
6	853	species	3.36498
6	751585	species	3.27091
6	28117	species	2.88147
6	665950	species	2.52679
6	821	species	2.26632
6	39491	species	2.00408
6	411489	species	1.69423
6	40545	species	1.29585
6	46506	species	1.18728
6	357276	species	0.94934
6	47678	species	0.87067
6	674529	species	0.81105
6	546	species	0.74932
6	665951	species	0.63054
6	820	species	0.62961
6	487174	species	0.62881
6	88431	species	0.60779
6	40518	species	0.59576
6	28118	species	0.49122
6	1118061	species	0.48648
6	40519	species	0.46092
6	360807	species	0.40347
6	166486	species	0.40323
6	40520	species	0.39148
6	33039	species	0.35081
6	1735	species	0.31623
6	46228	species	0.31599
6	371601	species	0.291
6	338188	species	0.24991
6	901	species	0.20035
6	39486	species	0.1762
6	328814	species	0.17168
6	28116	species	0.16232
6	39488	species	0.16062
6	410072	species	0.14723
6	1211813	species	0.14221
6	39496	species	0.11356
6	116085	species	0.10663
6	74426	species	0.09636
6	658087	species	0.07274
6	658089	species	0.07258
6	1099853	species	0.06112
6	301301	species	0.05761
6	649756	species	0.05134
6	823	species	0.04658
6	562	species	0.04595
6	39490	species	0.03077
6	1308	species	0.02699
6	39492	species	0.02647
6	239935	species	0.01943
6	35833	species	0.01808
6	1264	species	0.01771
6	1680	species	0.01611
6	61171	species	0.01411
6	1288121	species	0.0105
6	216816	species	0.00836
6	100886	species	0.00782
6	446660	species	0.00693
6	1304	species	0.00637
6	658081	species	0.00579
6	261299	species	0.00536
6	33043	species	0.00449
6	1265	species	0.00395
6	876	species	0.00363
6	729	species	0.00248
6	328813	species	0.00235
6	214851	species	0.00205
6	552398	species	0.00113
6	29347	species	0.0011
6	333367	species	0.00094
6	54291	species	0.00076
6	106588	species	0.00025
6	658082	species	0.00023
6	28111	species	0.00014
6	-1	species	7.52805
6	-1	genus	4.13739
7	816	genus	30.0831
7	561	genus	23.9374
7	216851	genus	6.44973
7	239759	genus	6.18381
7	1678	genus	5.63327
7	841	genus	3.77048
7	1263	genus	3.05653
7	239934	genus	2.50516
7	906	genus	2.35114
7	1730	genus	2.1599
7	292632	genus	2.10335
7	375288	genus	1.78035
7	1301	genus	1.13129
7	283168	genus	0.89228
7	572511	genus	0.73444
7	283	genus	0.67851
7	459786	genus	0.57992
7	397864	genus	0.57244
7	189330	genus	0.5134
7	35832	genus	0.29799
7	102106	genus	0.21899
7	836	genus	0.1998
7	29465	genus	0.16027
7	1485	genus	0.15559
7	33042	genus	0.14358
7	1578	genus	0.06055
7	207244	genus	0.05551
7	32207	genus	0.04061
7	117563	genus	0.02893
7	84111	genus	0.02461
7	838	genus	0.02128
7	447020	genus	0.01768
7	244127	genus	0.01582
7	1654	genus	0.01484
7	150022	genus	0.01391
7	724	genus	0.01361
7	194	genus	0.01332
7	946234	genus	0.01138
7	1017280	genus	0.00792
7	1357	genus	0.00758
7	133925	genus	0.00705
7	53335	genus	0.00669
7	577310	genus	0.00608
7	1378	genus	0.00485
7	1279	genus	0.00201
7	1350	genus	0.00184
7	61170	genus	0.0011
7	162289	genus	0.00103
7	1380	genus	0.00096
7	184869	genus	0.00049
7	562	species	22.1672
7	820	species	15.9425
7	821	species	6.91087
7	853	species	6.44973
7	28117	species	5.63516
7	1680	species	4.21789
7	360807	species	2.94047
7	239935	species	2.50516
7	40518	species	2.24817
7	1735	species	1.97562
7	204516	species	1.90586
7	28116	species	1.47083
7	39491	species	1.2465
7	216816	species	1.15355
7	46503	species	1.06818
7	28118	species	0.89228
7	166486	species	0.81503
7	1304	species	0.79348
7	46506	species	0.78715
7	823	species	0.71217
7	371601	species	0.70913
7	907	species	0.68302
7	39488	species	0.63452
7	1118061	species	0.60083
7	1226323	species	0.57992
7	487174	species	0.57244
7	357276	species	0.55398
7	457412	species	0.52651
7	310297	species	0.51844
7	33039	species	0.48564
7	818	species	0.48007
7	88431	species	0.476
7	246787	species	0.47588
7	47678	species	0.32616
7	1318	species	0.30895
7	1211813	species	0.29599
7	285	species	0.29167
7	1681	species	0.25949
7	40520	species	0.22439
7	46228	species	0.22418
7	74426	species	0.21899
7	39492	species	0.18088
7	1535	species	0.14125
7	39485	species	0.098
7	665951	species	0.09623
7	116085	species	0.0954
7	626932	species	0.09413
7	28123	species	0.08714
7	322095	species	0.08027
7	328813	species	0.07066
7	40519	species	0.05579
7	649756	species	0.05551
7	29466	species	0.05257
7	410072	species	0.04819
7	1288121	species	0.04748
7	43675	species	0.04061
7	214856	species	0.04038
7	1623	species	0.03937
7	39486	species	0.0374
7	261299	species	0.03609
7	501496	species	0.03238
7	33038	species	0.02442
7	658089	species	0.02229
7	1582	species	0.02118
7	446660	species	0.01768
7	35833	species	0.01624
7	301301	species	0.01499
7	131111	species	0.0146
7	28127	species	0.01416
7	1260	species	0.01391
7	729	species	0.01361
7	76517	species	0.01226
7	292800	species	0.01138
7	28037	species	0.00986
7	84112	species	0.00902
7	68892	species	0.00816
7	106588	species	0.00792
7	1358	species	0.00758
7	386414	species	0.00712
7	208479	species	0.00694
7	457421	species	0.00654
7	487175	species	0.00608
7	154046	species	0.00601
7	113107	species	0.0048
7	658657	species	0.00397
7	39778	species	0.00379
7	1343	species	0.00354
7	46124	species	0.00278
7	469610	species	0.00259
7	1689	species	0.00233
7	169435	species	0.00228
7	817	species	0.00225
7	658087	species	0.00221
7	1280	species	0.00201
7	1264	species	0.00188
7	1351	species	0.00184
7	1302	species	0.00148
7	358743	species	0.0014
7	457422	species	0.00111
7	827	species	0.00106
7	33031	species	0.00103
7	1305	species	0.00102
7	84135	species	0.001
7	1382	species	0.00096
7	184870	species	0.00049
7	1660	species	0.00024
7	-1	species	6.96827
7	-1	genus	3.32762
8	816	genus	21.478
8	292632	genus	8.78346
8	2172	genus	8.60606
8	1730	genus	6.96295
8	375288	genus	4.674
8	1263	genus	4.60526
8	239934	genus	3.86254
8	572511	genus	2.93145
8	33042	genus	2.05732
8	397864	genus	1.77975
8	1678	genus	1.7458
8	1485	genus	1.55254
8	207244	genus	1.38927
8	239759	genus	1.26762
8	39948	genus	0.96682
8	216851	genus	0.96404
8	561	genus	0.93034
8	189330	genus	0.80289
8	838	genus	0.7993
8	283168	genus	0.60918
8	841	genus	0.3144
8	102106	genus	0.23606
8	1301	genus	0.14703
8	35832	genus	0.12863
8	577309	genus	0.12651
8	84567	genus	0.05389
8	447020	genus	0.0505
8	191303	genus	0.04293
8	1350	genus	0.0157
8	644652	genus	0.01117
8	459786	genus	0.00925
8	40544	genus	0.009
8	39483	species	20.1617
8	2173	species	8.60606
8	820	species	6.91686
8	310298	species	5.4944
8	40518	species	4.08203
8	239935	species	3.86254
8	39488	species	3.49445
8	47678	species	3.3728
8	204516	species	2.49048
8	46503	species	2.4699
8	33039	species	2.17885
8	39485	species	2.1216
8	823	species	2.00956
8	487174	species	1.77975
8	411489	species	1.54888
8	216816	species	1.40794
8	674529	species	1.38961
8	649756	species	1.38927
8	751585	species	1.14311
8	39496	species	1.12195
8	218538	species	0.96682
8	28117	species	0.9642
8	853	species	0.96404
8	562	species	0.93034
8	165179	species	0.7993
8	40520	species	0.75259
8	410072	species	0.67626
8	28118	species	0.60918
8	357276	species	0.50203
8	821	species	0.46368
8	88431	species	0.43321
8	46228	species	0.41214
8	39486	species	0.36968
8	658089	species	0.36717
8	1680	species	0.33242
8	46506	species	0.31176
8	246787	species	0.2789
8	328814	species	0.27493
8	116085	species	0.23795
8	74426	species	0.23606
8	39491	species	0.21966
8	387661	species	0.19454
8	665951	species	0.18524
8	1304	species	0.14703
8	371601	species	0.12627
8	1118061	species	0.10655
8	40519	species	0.10484
8	665950	species	0.10231
8	301301	species	0.08297
8	360807	species	0.07397
8	261299	species	0.06087
8	658082	species	0.0562
8	626929	species	0.05414
8	446660	species	0.0505
8	1522	species	0.04911
8	28116	species	0.03828
8	818	species	0.03325
8	214856	species	0.02849
8	166486	species	0.02838
8	454154	species	0.02063
8	457422	species	0.01785
8	1352	species	0.0157
8	658657	species	0.01447
8	471189	species	0.01117
8	40545	species	0.009
8	35833	species	0.00856
8	1264	species	0.00625
8	291645	species	0.00554
8	28025	species	0.00544
8	39490	species	0.00529
8	1512	species	0.00367
8	-1	species	10.2094
8	-1	genus	22.0863
9	292632	genus	22.7294
9	239934	genus	11.6171
9	1730	genus	10.8463
9	816	genus	9.40645
9	830	genus	8.80108
9	239759	genus	6.3531
9	841	genus	4.89056
9	216851	genus	3.72613
9	397864	genus	3.20551
9	1485	genus	2.88195
9	375288	genus	2.65017
9	561	genus	2.2262
9	838	genus	1.92712
9	1263	genus	1.36658
9	572511	genus	1.28509
9	189330	genus	0.86463
9	283168	genus	0.69936
9	577309	genus	0.69463
9	2172	genus	0.47357
9	102106	genus	0.33875
9	40544	genus	0.29866
9	33042	genus	0.28552
9	459786	genus	0.27912
9	1678	genus	0.17425
9	872	genus	0.09357
9	39948	genus	0.0361
9	1348911	genus	0.03384
9	2316	genus	0.01091
